human,mouse,zebrafish,c.elegans,drosophila,ciliate,yeast,methanocaldococcus,thermococcus,e.coli,tuberculosis
300,300,300,"63,57024772",300,"17,23507702","10,38510278","2,698970004","3,103473783","1,920818754","4,244887734"
"79,34872199","25,7878124","25,90657831","21,89279003","21,09854168","19,56863624","21,75696195","0,2006594505","-0,3424226808","0,3565473235","-0,7242758696"
"44,24641694","44,48811664","39,63827216","24,36451625","17,79588002","17,49349497","23,79048499","-0,278753601","-0,2041199827","-0,6020599913","0,3467874862"
"42,82390874","42,9788107","43,24260397","42,82102305","43,48945499","40,76447155","42,70996539","1,102372909","-0,2041199827","0,8239087409","-0,5051499783"
"41,64016452","41,79588002","42,34582346","42,39685563","41,88941029","19,5559552","27,39147397","0,2076083105","0,2076083105","-0,04139268516","1,494850022"
